IOCValue,IOCType,ThreatName,MalwareFamily,ThreatActor,Campaign,SourceOrganization,SourceArticleTitle,SourceURL,ArticlePublishedDate,ArticleUpdatedDate,IOCFirstSeen,IOCLastSeen,DateCollected,Confidence,Severity,FreshnessScore,HuntingValue,OverallScore,RecommendedLookbackDays,RequestedLookbackDays,AvailableLookbackDays,EffectiveLookbackDays,MITRETechnique,Notes,ExplicitlyLabeled,TechnicalContext,SharedInfrastructure,SourceCount,IndependentSourceCount,ChangeStatus,Sources
65.21.208.199,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
85.239.144.195,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
85.239.149.13,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
85.239.149.14,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
85.239.149.167,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
87.58.199.76,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
89.34.90.150,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
89.34.90.159,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
89.34.90.217,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
91.92.33.156,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
91.92.33.213,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,,2026-09-21T13:00:00.180532Z,74,6,20,100,82,30,30,30,30,,,True,True,False,1,1,NEW,"[{""organization"": ""Sekoia.io"", ""article_title"": ""Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework"", ""url"": ""https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework"", ""published_at"": ""2026-09-21T00:00:00Z"", ""updated_at"": null, ""reliability"": 0.88, ""source_id"": ""sekoia-io"", ""source_role"": ""primary"", ""evidence_tier"": 2, ""retrieval_method"": ""conditional-publication-index"", ""collection_start"": ""2026-09-20T13:00:00.081404Z"", ""discovery_context"": []}]"
