ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
89.34.90.217,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
91.92.33.156,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
91.92.33.213,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
91.92.43.245,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
93.152.223.161,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
93.152.224.139,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
94.26.83.206,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
94.26.90.126,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
94.26.90.65,ipv4,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
airduct1.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
