IOCValue,IOCType,ThreatName,MalwareFamily,ThreatActor,Campaign,SourceOrganization,SourceArticleTitle,SourceURL,ArticlePublishedDate,ArticleUpdatedDate,IOCFirstSeen,IOCLastSeen,DateCollected,Confidence,Severity,FreshnessScore,HuntingValue,OverallScore,RecommendedLookbackDays,RequestedLookbackDays,AvailableLookbackDays,EffectiveLookbackDays,MITRETechnique,Notes,SharedInfrastructure,SourceCount,ChangeStatus,Sources
add-passkey.com,domain,Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog,,,,Microsoft Threat Intelligence,Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/09/passkey-themed-social-engineering-leads-identity-cloud-compromise/,2026-09-09T17:41:18Z,2026-09-09T17:59:18Z,,,2026-09-20T13:00:00.081404Z,71,6,12,66,59,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""Passkey-themed social engineering leads to identity and cloud compromise | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/09/passkey-themed-social-engineering-leads-identity-cloud-compromise/"", ""published_at"": ""2026-09-09T17:41:18Z"", ""updated_at"": ""2026-09-09T17:59:18Z"", ""reliability"": 0.96}]"
additionplot.cfd,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
adex-blog.blogspot.com,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
advancefundingboost.com,domain,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,,,,Microsoft Threat Intelligence,ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog,https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/,2026-09-03T16:00:00Z,2026-09-03T17:51:06Z,,,2026-09-20T13:00:00.081404Z,71,5,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Microsoft Threat Intelligence"", ""article_title"": ""ASCII smuggling crosses over from AI prompt injection to phishing evasion | Microsoft Security Blog"", ""url"": ""https://www.microsoft.com/en-us/security/blog/2026/09/03/ascii-smuggling-crosses-over-from-ai-prompt-injection-to-phishing-evasion/"", ""published_at"": ""2026-09-03T16:00:00Z"", ""updated_at"": ""2026-09-03T17:51:06Z"", ""reliability"": 0.96}]"
adviceturn.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
afternoonscrew.space,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
agent.sock,domain,The Machine With Many Faces: Post-Exploitation Identity Misuse in SPIFFE/SPIRE,,,,Palo Alto Networks Unit 42,The Machine With Many Faces: Post-Exploitation Identity Misuse in SPIFFE/SPIRE,https://unit42.paloaltonetworks.com/kubernetes-spiffe-spire-identity-spoofing/,2026-09-10T10:00:43Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,73,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""The Machine With Many Faces: Post-Exploitation Identity Misuse in SPIFFE/SPIRE"", ""url"": ""https://unit42.paloaltonetworks.com/kubernetes-spiffe-spire-identity-spoofing/"", ""published_at"": ""2026-09-10T10:00:43Z"", ""updated_at"": null, ""reliability"": 0.92}]"
agreementjuice.space,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
airplaneiron.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
airtwig.xyz,domain,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,,,,Palo Alto Networks Unit 42,Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure,https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/,2026-09-09T10:00:55Z,,,,2026-09-20T13:00:00.081404Z,68,6,12,66,58,60,60,30,30,,,False,1,NEW,"[{""organization"": ""Palo Alto Networks Unit 42"", ""article_title"": ""Untracked Nightmares: The Threats Hiding Behind Commodity Infrastructure"", ""url"": ""https://unit42.paloaltonetworks.com/ppi-network-malware-campaign-analysis/"", ""published_at"": ""2026-09-09T10:00:55Z"", ""updated_at"": null, ""reliability"": 0.92}]"
